cloudletId;length;FileSize;OutputSize
0;5000;120;20
1;5000;20;40
2;3500;80;40
3;2000;80;80
4;4000;20;80
5;3500;20;20
6;1500;300;80
7;3000;80;120
8;3500;120;200
9;3000;40;20
10;3000;20;80
11;3500;300;300
12;2500;40;40
13;2500;300;40
14;5000;40;300
15;4000;40;300
16;1500;40;40
17;3500;80;200
18;5000;200;40
19;3000;120;120
20;1500;300;80
21;3000;80;80
22;3500;40;120
23;1000;200;300
24;3000;40;40
25;3500;80;200
26;2000;120;20
27;1500;300;80
28;1500;120;120
29;2500;80;40
30;1000;20;120
31;1000;300;120
32;2500;20;80
33;3000;20;200
34;4000;40;300
35;3000;120;80
36;3000;80;80
37;1500;120;40
38;2500;20;200
39;4500;80;120
40;2500;20;80
41;3000;80;20
42;3000;120;40
43;1500;200;80
44;3000;200;20
45;3500;120;80
46;5000;40;300
47;3500;40;300
48;5000;300;20
49;5000;40;300
50;3000;300;300
51;2500;40;40
52;3500;300;80
53;2500;200;20
54;2000;80;40
55;4000;80;120
56;2000;40;80
57;5000;120;20
58;3000;120;20
59;2500;40;200
60;2000;40;80
61;4500;20;300
62;1000;120;20
63;4000;80;120
64;2000;200;20
65;2000;300;300
66;4500;20;120
67;5000;20;80
68;2000;40;20
69;4500;200;80
70;2500;40;80
71;3000;200;40
72;2000;300;300
73;3000;300;300
74;4500;300;120
75;5000;200;40
76;1500;40;120
77;3000;200;120
78;1000;120;40
79;4000;300;20
80;4000;20;300
81;1500;20;120
82;4500;300;20
83;3000;120;120
84;2000;120;120
85;2500;300;120
86;4000;40;80
87;1000;20;200
88;1500;40;300
89;2000;120;20
90;3500;20;20
91;1500;80;120
92;2500;200;120
93;4500;40;300
94;4000;120;200
95;4000;40;80
96;4000;80;20
97;1000;40;80
98;2000;300;120
99;1500;300;40
100;2000;40;20
101;2500;20;120
102;1500;40;200
103;2000;300;80
104;3000;80;300
105;3500;40;40
106;4000;80;120
107;3000;20;40
108;2000;20;300
109;3500;20;20
110;3500;300;300
111;4500;80;80
112;4500;40;40
113;2000;120;20
114;4000;20;40
115;5000;200;120
116;2500;80;20
117;4500;120;20
118;2500;40;200
119;2000;40;200
120;5000;300;20
121;1500;200;20
122;5000;20;80
123;3500;120;120
124;4500;120;80
125;3000;40;80
126;5000;200;20
127;5000;20;40
128;2500;300;80
129;1500;300;120
130;3500;200;80
131;3500;40;80
132;1000;80;20
133;3000;40;40
134;1500;300;200
135;5000;200;300
136;1000;200;200
137;4000;40;20
138;3000;20;20
139;3500;40;80
140;3000;20;300
141;2500;80;40
142;2000;20;20
143;1000;80;40
144;3000;200;200
145;2500;300;300
146;5000;80;20
147;3500;120;300
148;4000;20;80
149;1500;120;20
150;1000;20;200
151;5000;300;40
152;3000;40;200
153;1500;120;120
154;4000;120;20
155;4000;120;80
