cloudletId;length;FileSize;OutputSize
0;500;300;12500
1;60000;10;2700
2;500;8000;20000
3;1600;100;200
4;15000;100;6000
5;3500;2600;10
6;45000;12000;10
7;3500;2600;420
8;60000;50;10
9;6000;5000;6000
10;60000;2600;10
11;11000;5000;10000
12;6000;300;420
13;35000;12000;2700
14;15000;5000;2700
15;1600;5000;2700
16;1000;300;420
17;4800;8000;6000
18;1000;10;420
19;1600;50;420
20;6000;12000;200
21;20000;600;900
22;11000;12000;2700
23;4800;10;40
24;500;12000;420
25;11000;2600;10
26;2500;300;10
27;45000;300;200
28;1000;300;20000
29;2500;8000;20000
30;11000;2600;420
31;1600;12000;420
32;60000;2600;6000
33;6000;10;10
34;11000;12000;420
35;6000;12000;6000
36;15000;100;6000
37;3500;5000;40
38;45000;10;6000
39;20000;2600;20000
40;20000;8000;12500
41;15000;100;200
42;15000;300;420
43;2500;100;200
44;4800;100;200
45;1000;1200;200
46;15000;300;420
47;500;50;420
48;20000;300;12500
49;3500;5000;40
50;6000;1200;40
51;500;50;20000
52;6000;50;200
53;6000;600;6000
54;6000;10;2700
55;45000;10;20000
56;2500;50;900
57;15000;50;12500
58;1000;50;200
59;6000;12000;200
60;500;12000;10
61;60000;600;2700
62;15000;1200;200
63;4800;8000;420
64;20000;8000;6000
65;6000;12000;420
66;1000;600;20000
67;2500;8000;12500
68;2500;5000;200
69;2500;600;10
70;45000;300;12500
71;1600;600;2700
72;500;50;420
73;1600;1200;40
74;6000;300;420
75;60000;2600;420
76;3500;5000;2700
77;20000;8000;10000
78;35000;12000;10000
79;35000;300;10
80;3500;2600;40
81;60000;8000;40
82;45000;50;10
83;2500;300;2700
84;500;1200;420
85;15000;12000;20000
86;20000;50;12500
87;2500;10;6000
88;3500;5000;2700
89;35000;12000;6000
90;4800;10;12500
91;20000;10;20000
92;1600;2600;420
93;15000;5000;20000
94;15000;5000;10
95;3500;12000;12500
96;1000;10;10
97;45000;12000;200
98;500;5000;420
99;3500;50;420
100;35000;12000;900
101;1600;10;20000
102;45000;300;6000
103;4800;1200;12500
104;11000;600;420
105;20000;1200;420
106;60000;10;10000
107;4800;600;20000
108;45000;8000;20000
109;35000;2600;200
110;35000;300;40
111;45000;2600;6000
112;15000;300;40
113;6000;12000;900
114;20000;2600;40
115;60000;100;420
116;500;8000;900
117;35000;50;6000
118;20000;12000;6000
119;3500;5000;200
120;6000;5000;10
121;35000;2600;900
122;4800;2600;6000
123;3500;1200;40
124;11000;50;200
125;11000;12000;900
126;1600;8000;200
127;11000;100;2700
128;45000;5000;200
129;3500;1200;40
130;11000;10;12500
131;3500;1200;6000
132;2500;2600;200
133;45000;300;10000
134;20000;300;12500
135;35000;8000;40
136;2500;100;10
137;6000;5000;12500
138;4800;600;12500
139;3500;300;10
140;45000;8000;420
141;20000;600;2700
142;45000;8000;900
