algorithm,scenario_name,num_cloudlets,seed,phi_fraction,rho_tightness,makespan_sec,total_energy_j,deadline_miss_rate,avg_tardiness_sec
FCFS,Scenario_50,50,1001,0.3,2.0,67.3257,10104.1122,1.0000,4.0721
FCFS,Scenario_50,50,1000,0.6,1.5,67.3257,10104.1122,1.0000,9.1781
FCFS,Scenario_50,50,1003,0.3,1.2,67.3257,10104.1122,1.0000,9.1461
FCFS,Scenario_100,100,1002,0.6,2.0,103.4914,15529.9205,1.0000,12.2203
FCFS,Scenario_50,50,1002,0.3,2.0,67.3257,10104.1122,1.0000,3.4059
FCFS,Scenario_50,50,1001,0.6,1.5,67.3257,10104.1122,1.0000,7.9120
FCFS,Scenario_50,50,1004,0.3,1.2,67.3257,10104.1122,1.0000,11.0367
FCFS,Scenario_50,50,1002,0.6,1.5,67.3257,10104.1122,1.0000,4.8279
FCFS,Scenario_50,50,1003,0.3,2.0,67.3257,10104.1122,1.0000,8.2650
FCFS,Scenario_100,100,1003,0.6,2.0,103.4914,15529.9205,1.0000,8.6392
FCFS,Scenario_50,50,1004,0.3,2.0,67.3257,10104.1122,1.0000,10.1221
FCFS,Scenario_50,50,1003,0.6,1.5,67.3257,10104.1122,1.0000,8.3739
FCFS,Scenario_50,50,1004,0.6,1.5,67.3257,10104.1122,1.0000,10.1220
FCFS,Scenario_100,100,1004,0.6,2.0,103.4914,15529.9205,1.0000,10.8169
DCOA-TS,Scenario_50,50,1004,0.3,2.0,9.6863,1455.2799,1.0000,2.8172
DBDE,Scenario_50,50,1002,0.3,1.2,15.6877,2356.7278,1.0000,1.9093
DCOA-TS,Scenario_50,50,1003,0.6,2.0,10.2409,1537.8336,1.0000,3.2339
DWOA,Scenario_50,50,1000,0.3,1.5,14.6229,2195.3973,1.0000,1.8185
I-COA,Scenario_50,50,1003,0.3,2.0,25.2555,3792.8866,1.0000,1.2103
DGWO,Scenario_50,50,1002,0.6,1.2,10.4792,1575.7030,1.0000,2.5827
DGWO,Scenario_50,50,1001,0.6,1.5,15.8500,2381.4734,1.0000,2.3962
DGWO,Scenario_50,50,1000,0.3,1.2,15.2859,2295.1858,1.0000,1.7896
DCOA-TS,Scenario_50,50,1003,0.6,1.5,11.1073,1667.5507,1.0000,4.1535
DCOA-TS,Scenario_50,50,1004,0.6,2.0,12.0623,1810.8309,1.0000,4.2486
DGWO,Scenario_50,50,1000,0.3,2.0,16.9591,2545.3215,1.0000,0.9154
DBDE,Scenario_50,50,1003,0.3,1.2,12.3850,1861.1046,1.0000,1.8539
DWOA,Scenario_50,50,1004,0.6,1.5,15.6270,2346.8011,1.0000,2.1484
DGWO,Scenario_50,50,1003,0.3,1.5,13.2333,1986.2932,1.0000,1.3737
DBDE,Scenario_100,100,1003,0.6,1.5,40.7888,6123.2199,1.0000,3.1075
DGWO,Scenario_50,50,1000,0.6,1.5,32.3600,4857.6708,1.0000,1.9718
DWOA,Scenario_100,100,1001,0.6,1.5,66.9157,10043.3385,1.0000,3.4115
DCOA-TS,Scenario_100,100,1002,0.3,1.2,15.8003,2372.0004,1.0000,6.2823
DWOA,Scenario_50,50,1001,0.3,1.5,16.1338,2421.6358,1.0000,2.2254
I-COA,Scenario_100,100,1000,0.3,1.2,104.0557,15614.5207,1.0000,3.2852
DGWO,Scenario_50,50,1003,0.6,1.2,15.5145,2330.3558,1.0000,2.4660
GO,Scenario_100,100,1000,0.6,1.2,28.1948,4233.6631,1.0000,4.3363
I-COA,Scenario_50,50,1004,0.3,2.0,29.0289,4358.9360,1.0000,1.7277
FCFS,Scenario_500,500,1001,0.3,1.5,423.2643,63496.0739,1.0000,48.0199
DGWO,Scenario_100,100,1004,0.6,2.0,63.5614,9540.7590,1.0000,2.9781
DBDE,Scenario_50,50,1004,0.3,1.2,15.5524,2335.7654,1.0000,2.1382
DGWO,Scenario_50,50,1002,0.6,1.5,17.0200,2556.1191,1.0000,2.2604
DBDE,Scenario_50,50,1000,0.6,1.5,21.2854,3197.4026,1.0000,2.1094
DGWO,Scenario_50,50,1001,0.3,2.0,11.5605,1735.7044,1.0000,1.3186
DGWO,Scenario_50,50,1001,0.3,1.2,13.5040,2027.3358,1.0000,1.9307
DGWO,Scenario_100,100,1000,0.6,2.0,67.3133,10102.4971,1.0000,2.6147
DCOA-TS,Scenario_50,50,1000,0.6,1.2,11.9103,1788.0506,1.0000,5.3797
GO,Scenario_50,50,1003,0.6,1.5,15.3430,2304.9446,1.0000,2.1116
DGWO,Scenario_50,50,1004,0.3,1.5,20.2491,3040.2036,1.0000,1.5703
DCOA-TS,Scenario_100,100,1003,0.3,1.2,15.0773,2263.7168,1.0000,5.9861
DWOA,Scenario_50,50,1002,0.3,1.5,14.1035,2117.2359,1.0000,1.8095
DCOA-TS,Scenario_50,50,1004,0.6,1.5,10.5144,1578.5678,1.0000,4.3205
DBDE,Scenario_50,50,1001,0.6,1.5,25.2050,3785.2155,1.0000,2.1654
DCOA-TS,Scenario_50,50,1001,0.6,1.2,14.6749,2202.6462,1.0000,6.2936
