algorithm,scenario_name,num_cloudlets,seed,population,iterations,makespan_sec,total_energy_j,avg_waiting_sec,mapping_time_ms
PSO-SA,Scenario_200,200,1008,50,50,87.8519,13182.8207,12.3017,7
DTSO-TS,Scenario_200,200,1000,24,20,41.7828,6272.3996,8.9972,4
DTSO-TS,Scenario_200,200,1021,50,10,59.2788,8896.6627,9.5280,4
DTSO-TS,Scenario_200,200,1027,10,20,58.1356,8724.7591,10.0026,2
DTSO-TS,Scenario_200,200,1012,100,10,35.2533,5291.2869,9.0543,9
DTSO-TS,Scenario_200,200,1022,10,10,67.6600,10153.9538,10.4505,1
PSO-SA,Scenario_200,200,1003,24,20,88.9126,13341.4062,13.7390,4
DTSO-TS,Scenario_200,200,1027,24,20,44.3636,6658.9782,8.9749,4
DTSO-TS,Scenario_200,200,1018,24,20,36.3157,5450.9124,8.3608,4
DTSO-TS,Scenario_200,200,1024,10,50,52.7813,7921.5084,9.4850,4
DTSO-TS,Scenario_200,200,1006,10,50,43.9393,6594.7257,9.2554,4
DTSO-TS,Scenario_200,200,1000,10,20,58.9933,8853.5663,10.2361,2
DTSO-TS,Scenario_200,200,1009,10,20,48.2488,7241.1079,9.7960,1
PSO-SA,Scenario_200,200,1013,10,20,76.8525,11532.1768,13.3779,2
DTSO-TS,Scenario_200,200,1029,500,10,35.4368,5320.3932,8.2112,35
PSO-SA,Scenario_200,200,1017,10,10,109.8161,16477.9840,13.8361,1
DTSO-TS,Scenario_200,200,1028,10,20,50.5933,7594.0635,9.1944,1
DTSO-TS,Scenario_200,200,1020,10,100,47.2878,7095.8127,11.3081,16
DTSO-TS,Scenario_200,200,1013,100,50,33.5739,5039.5880,9.5644,31
DTSO-TS,Scenario_200,200,1001,24,20,34.8110,5224.9457,8.2486,2
DTSO-TS,Scenario_200,200,1013,24,10,45.2622,6793.3514,9.9983,2
DTSO-TS,Scenario_200,200,1016,10,500,60.8221,9125.0698,21.2374,37
PSO-SA,Scenario_200,200,1027,10,50,107.4345,16120.8687,14.2717,4
DTSO-TS,Scenario_200,200,1018,50,20,40.0630,6013.3990,8.6735,16
PSO-SA,Scenario_200,200,1005,500,10,80.1989,12034.1892,11.4490,30
DTSO-TS,Scenario_200,200,1021,24,10,58.8050,8825.4621,10.1022,6
DTSO-TS,Scenario_200,200,1006,24,50,28.9624,4347.2383,8.4913,22
DTSO-TS,Scenario_200,200,1022,50,10,45.6485,6851.8268,8.8345,3
DTSO-TS,Scenario_200,200,1023,10,10,64.2878,9647.3494,11.2312,0
DTSO-TS,Scenario_200,200,1006,50,50,33.1562,4976.7193,8.2969,23
DTSO-TS,Scenario_200,200,1013,100,10,53.1112,7971.2907,9.1050,5
PSO-SA,Scenario_200,200,1009,50,50,104.5957,15694.8178,10.8965,7
DTSO-TS,Scenario_200,200,1025,10,50,30.4623,4573.0928,8.2507,2
PSO-SA,Scenario_200,200,1010,500,20,77.6839,11657.1979,10.5421,44
PSO-SA,Scenario_200,200,1004,24,20,116.4637,17475.5982,13.0945,1
DTSO-TS,Scenario_200,200,1029,10,20,46.9684,7049.2477,10.0184,1
DTSO-TS,Scenario_200,200,1009,24,20,43.5167,6532.6261,9.4744,12
