algorithm,scenario_name,num_cloudlets,seed,population,iterations,episodes,w_energy,w_makespan,w_violation,makespan_sec,makespan_ms,total_energy_j,avg_waiting_sec,avg_waiting_ms,finished_cloudlets,mapping_time_ms,peak_memory_mb,deadline_miss_rate,avg_tardiness_sec,unit_note
PSO-SA,Scenario_50,50,1007,200,100,0,0.20,0.70,0.10,25.1460,25146.0051,3776.3138,0.9972,997.2151,50,335,113,1.0000,3.8373,ms and sec explicitly named
I-COA,Scenario_50,50,1004,200,100,0,0.20,0.70,0.10,22.5195,22519.5482,3382.3109,1.1058,1105.7890,50,651,350,1.0000,2.4658,ms and sec explicitly named
RoundRobin,Scenario_100,100,1003,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,11.1593,ms and sec explicitly named
PSO-SA,Scenario_50,50,1008,200,100,0,0.20,0.70,0.10,25.1613,25161.2500,3777.8041,2.3969,2396.9477,50,39,92,1.0000,6.3259,ms and sec explicitly named
DBDE,Scenario_100,100,1018,200,100,0,0.20,0.70,0.10,69.5795,69579.4643,10442.8591,5.4511,5451.1391,100,432,161,1.0000,3.2347,ms and sec explicitly named
RoundRobin,Scenario_100,100,1012,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,10.1195,ms and sec explicitly named
PSO-SA,Scenario_100,100,1002,200,100,0,0.20,0.70,0.10,37.8615,37861.5385,5683.2983,4.5294,4529.4149,100,337,94,1.0000,7.8904,ms and sec explicitly named
RoundRobin,Scenario_100,100,1022,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,9.9985,ms and sec explicitly named
SJF,Scenario_100,100,1002,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,2,1,1.0000,8.7303,ms and sec explicitly named
SJF,Scenario_100,100,1012,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,7.9253,ms and sec explicitly named
I-COA,Scenario_50,50,1005,200,100,0,0.20,0.70,0.10,21.3850,21385.0000,3211.9992,1.7296,1729.6488,50,118,283,1.0000,2.2621,ms and sec explicitly named
FCFS,Scenario_100,100,1003,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,0,1.0000,9.1949,ms and sec explicitly named
FCFS,Scenario_100,100,1023,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,0,1.0000,11.9851,ms and sec explicitly named
PSO-SA,Scenario_50,50,1009,200,100,0,0.20,0.70,0.10,36.2422,36242.2222,5441.4338,2.5113,2511.3152,50,36,85,1.0000,6.2379,ms and sec explicitly named
DGWO,Scenario_100,100,1000,200,100,0,0.20,0.70,0.10,40.0235,40023.4615,6008.2878,5.4084,5408.3752,100,531,221,1.0000,3.3200,ms and sec explicitly named
RoundRobin,Scenario_100,100,1004,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,1,1.0000,10.5691,ms and sec explicitly named
RoundRobin,Scenario_100,100,1013,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,11.2929,ms and sec explicitly named
PSO-SA,Scenario_100,100,1003,200,100,0,0.20,0.70,0.10,40.4367,40436.6667,6070.3652,5.1269,5126.8534,100,38,92,1.0000,8.6044,ms and sec explicitly named
SJF,Scenario_100,100,1022,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,10.0526,ms and sec explicitly named
DBDE,Scenario_100,100,1019,200,100,0,0.20,0.70,0.10,41.4177,41417.6923,6218.1918,4.9544,4954.4152,100,161,398,1.0000,3.8007,ms and sec explicitly named
SJF,Scenario_100,100,1013,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,8.8094,ms and sec explicitly named
PSO-SA,Scenario_50,50,1010,200,100,0,0.20,0.70,0.10,25.2575,25257.5000,3792.2906,1.5222,1522.2418,50,49,0,1.0000,3.9972,ms and sec explicitly named
SJF,Scenario_100,100,1003,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,8.7958,ms and sec explicitly named
RoundRobin,Scenario_100,100,1014,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,10.1778,ms and sec explicitly named
RoundRobin,Scenario_100,100,1023,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,9.8608,ms and sec explicitly named
RoundRobin,Scenario_100,100,1005,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,10.6767,ms and sec explicitly named
FCFS,Scenario_100,100,1004,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,1,1.0000,11.3894,ms and sec explicitly named
PSO-SA,Scenario_100,100,1004,200,100,0,0.20,0.70,0.10,26.7743,26774.2857,4020.3718,3.9447,3944.6890,100,28,147,1.0000,7.6229,ms and sec explicitly named
FCFS,Scenario_100,100,1024,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,0,1.0000,11.7903,ms and sec explicitly named
SJF,Scenario_100,100,1014,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,1,0,1.0000,8.2900,ms and sec explicitly named
PSO-SA,Scenario_500,500,1026,200,100,0,0.20,0.70,0.10,292.1543,292154.2857,43829.2313,36.8379,36837.8882,500,393,230,1.0000,41.8969,ms and sec explicitly named
RoundRobin,Scenario_100,100,1015,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,9.2581,ms and sec explicitly named
